Word,num_rhymes_full_elp,num_rhymes_1000_coca,num_rhymes_2500_coca,num_rhymes_5000_coca,num_rhymes_10000_coca,Ortho_N,Phono_N,Phono_N_H,OG_N,OLD,OLDF,PLD,PLDF,BG_Mean,I_Mean_RT,I_Zscore,I_SD,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Mean_Accuracy
took,23,0,0,0,0,8,22,25,6,1.55,8.28,1.25,9.19,1741.67,623.97,-0.51,212.25,0.94,618.71,-0.54,134.66,1
tool,20,3,4,5,9,8,29,32,6,1.45,8.23,1,9.97,2497,573.24,-0.77,197.14,1,588.25,-0.62,101.42,1
tooling,9,0,0,0,0,6,13,13,6,1.85,6.37,1.6,7.41,6101.17,638.08,-0.47,147.64,0.76,646.81,-0.38,176.86,1
toolmaker,0,0,0,0,0,0,0,0,0,3.85,4.95,3.6,4.83,3355.88,719.61,-0.32,236,1,683.79,-0.19,131.61,1
tools,12,0,0,0,0,7,19,19,5,1.75,7.48,1.25,8.21,2164.75,507.75,-0.84,95.76,1,600.82,-0.45,89.95,1
toot,40,0,0,0,0,13,35,35,8,1.25,8.36,1,9.4,2206.33,769.81,-0.04,216.23,0.84,572.95,-0.61,110.36,0.96
tooth,8,0,2,3,4,3,13,13,1,1.85,7.78,1.2,9.69,2282,634.56,-0.58,225.62,1,612.12,-0.54,109.39,0.96
toothbrush,0,0,0,0,0,0,0,0,0,4.85,5,4.3,4.67,1948.56,622.69,-0.53,156.5,1,619,-0.47,101.47,1
toothless,1,0,0,0,0,0,3,3,0,3,5.71,2.25,5.21,4066.38,689.29,-0.3,198.67,0.97,642.52,-0.41,121.68,1
toothpaste,0,0,0,0,0,0,0,0,0,4.45,5.04,3.8,5.62,3386.78,641.54,-0.41,182.35,1,688,-0.14,233.97,1
toothpick,0,0,0,0,0,0,0,0,0,4.05,5.92,3.45,5.37,2182.63,628.06,-0.51,172.75,1,690.46,-0.19,163.43,1
toothy,0,0,0,0,0,1,1,1,0,2.15,6.75,1.95,7.41,1921.2,754.3,-0.11,302.77,0.91,633.79,-0.43,122.32,0.92
tootle,2,0,0,0,0,4,15,15,1,2,6.17,1.7,7.13,2827.2,695.93,-0.22,268.73,0.44,744.55,-0.25,249.52,0.8
tootsie,113,0,0,0,0,1,1,1,0,2.8,5.95,2.95,5.71,2773.33,705.18,-0.19,161.44,0.88,794.29,0.26,181.66,0.92
top,22,4,6,11,13,21,27,27,15,1,9.11,1,8.6,2199.5,563.09,-0.75,182.67,0.97,526.43,-0.81,85.37,1
topaz,0,0,0,0,0,0,3,3,0,2.55,7.73,2.65,6.96,1710.25,739.26,-0.23,318.41,0.79,607.7,-0.4,112.57,1
topic,6,0,0,0,1,3,2,2,1,1.8,6.94,1.8,7.01,2657.5,632.24,-0.53,310.4,0.97,591.46,-0.58,126.91,1
topical,0,0,0,0,0,1,2,2,1,2.45,7.11,2.2,7.54,3398.33,714.83,-0.19,240.65,0.91,720.04,0.02,198.07,0.93
topics,1,0,0,0,0,1,2,2,1,2.1,7.21,1.9,7.16,2179.2,710,-0.43,375.88,0.94,618.15,-0.51,91.09,1
topknot,0,0,0,0,0,0,1,1,0,3.45,7.01,3.1,4.67,1363.33,766.17,0.15,243.84,0.55,826.41,0.24,255.05,0.93
topless,0,0,0,0,0,0,0,0,0,2.65,6.28,2.2,6.42,4825.67,656.59,-0.42,164.61,1,586.56,-0.54,81.41,1
topographic,10,0,0,0,0,1,1,1,1,3.45,5.5,4.15,5.97,2487.5,992.67,0.41,440.4,0.82,911.58,0.6,210.03,0.96
topography,18,0,0,0,0,1,2,2,1,3,5.49,3.5,5.66,2063.67,831.57,0.16,287.82,0.68,836.04,0.4,250.18,0.88
topped,15,0,0,0,0,10,19,19,10,1.6,6.06,1.35,7.59,3324,705.47,-0.41,272.33,0.97,613.16,-0.47,103.54,1
